Init complete
5937 10.00 7.68
5944 10.00 6.98
5950 10.00 7.16
5957 10.00 7.31
5964 10.00 7.33
5971 10.00 7.44
5979 10.00 7.44
5985 10.00 7.44
5992 10.00 7.43
5999 10.00 7.43
6006 0.00 7.43
6012 0.00 7.43
6020 0.00 7.15
6024 0.00 6.65
6031 0.00 5.78
6037 0.00 5.37
6044 0.00 4.85
6050 0.00 4.35
6057 0.00 3.85
6065 0.00 3.36
6071 0.00 2.96
6078 0.00 2.56
6084 0.00 2.23
6091 0.00 1.97
6097 0.00 1.67
6105 0.00 1.43
6112 0.00 1.24
6118 0.00 0.99
6125 0.00 0.79
6131 0.00 0.63
6138 0.00 0.51
6145 0.00 0.40
6152 0.00 0.32
6158 0.00 0.26
6165 0.00 0.21
6172 0.00 0.17
6178 0.00 0.13
6185 0.00 0.11
6192 0.00 0.08
6199 0.00 0.07
6205 0.00 0.05
6212 0.00 0.04
6218 0.00 0.03
6225 0.00 0.03
6233 0.00 0.02
6239 0.00 0.02
6246 0.00 0.01
6252 0.00 0.01
6259 0.00 0.01
6264 0.00 0.01
6272 0.00 0.01
6276 0.00 0.00
6282 0.00 0.00
6289 0.00 0.00
6295 0.00 0.00
6302 0.00 0.00
6308 0.00 0.00
6316 0.00 0.00
6323 0.00 0.00
6329 0.00 0.00
6336 0.00 0.00
6342 0.00 0.00
6349 0.00 0.00
6355 0.00 0.00
6362 0.00 0.00
6369 0.00 0.00
6375 0.00 0.00
6382 0.00 0.00
6389 0.00 0.00
6395 0.00 0.00
6403 0.00 0.00
6409 0.00 0.00
6416 0.00 0.00
6422 0.00 0.00
6429 0.00 0.00
6435 0.00 0.00
6439 0.00 0.00
6447 0.00 0.00
6453 0.00 0.00
6460 0.00 0.00
6466 0.00 0.00
6473 0.00 0.00
6480 0.00 0.00
6487 0.00 0.00
6494 0.00 0.00
6500 0.00 0.00
6507 0.00 0.00
6513 0.00 0.00
6520 0.00 0.00
6524 0.00 0.00
6531 0.00 0.00
6538 0.00 0.00
6544 0.00 0.00
6551 0.00 0.00
