Init complete
12460 10.00 7.07
12467 10.00 7.24
12473 10.00 7.37
12480 10.00 7.38
12487 10.00 7.58
12494 10.00 7.55
12502 10.00 7.52
12509 10.00 7.50
12516 10.00 7.49
12522 10.00 7.48
12526 10.00 7.47
12533 10.00 6.72
12540 10.00 6.95
12548 10.00 7.05
12555 10.00 7.12
12562 10.00 7.28
12568 10.00 7.31
12575 10.00 7.33
12582 10.00 7.44
12590 10.00 7.44
12597 10.00 7.44
12604 10.00 7.43
12611 10.00 7.53
12614 10.00 7.51
12621 10.00 6.75
12628 10.00 6.88
12636 10.00 6.99
12643 10.00 7.08
12650 10.00 7.15
12656 10.00 7.20
12663 10.00 7.34
12670 10.00 7.36
12678 10.00 7.37
12685 10.00 7.75
12692 10.00 7.78
12699 10.00 7.71
12705 10.00 7.65
12712 10.00 7.61
12717 10.00 7.57
12724 10.00 6.80
12731 10.00 6.83
12738 10.00 6.95
12745 10.00 7.14
12751 10.00 7.20
12759 10.00 7.34
12766 10.00 7.45
12773 10.00 7.81
12780 10.00 7.74
12787 10.00 7.67
12794 10.00 7.72
12801 10.00 7.75
12808 10.00 7.69
12815 10.00 7.64
12822 10.00 7.69
12829 10.00 7.73
12836 10.00 7.76
12844 10.00 7.69
12851 10.00 7.64
12854 10.00 7.69
12861 10.00 6.99
12868 10.00 7.08
12875 10.00 7.24
12882 10.00 7.37
12890 10.00 7.38
12897 10.00 7.48
12903 10.00 7.56
12910 10.00 7.54
12917 10.00 7.52
12924 10.00 7.50
12932 10.00 7.48
12939 10.00 7.56
12945 10.00 7.54
12952 10.00 7.70
12959 10.00 7.65
12966 10.00 7.60
12974 10.00 7.66
12981 10.00 7.61
12988 10.00 7.58
12994 10.00 7.55
13001 10.00 7.62
13008 10.00 7.67
13016 10.00 7.71
13023 10.00 7.66
13030 10.00 7.61
13034 10.00 7.57
13040 10.00 6.80
13047 10.00 6.93
13054 10.00 7.03
13062 10.00 7.11
13069 10.00 7.26
13076 10.00 7.30
13083 10.00 7.32
13089 10.00 7.53
13096 10.00 7.51
13104 10.00 7.59
13111 10.00 7.55
13118 10.00 7.44
13125 10.00 7.53
13132 10.00 7.60
13138 10.00 7.66
13146 10.00 7.70
13153 10.00 7.56
13160 10.00 7.53
13164 10.00 7.51
13171 10.00 7.03
13177 10.00 7.11
13185 10.00 7.26
13192 10.00 7.39
13199 10.00 7.58
13206 10.00 7.55
13213 10.00 7.53
13220 10.00 7.60
13227 10.00 7.57
13234 10.00 7.63
13241 10.00 7.78
13248 10.00 7.80
13252 10.00 7.72
13259 10.00 6.92
13266 10.00 7.21
13273 10.00 7.25
13280 10.00 7.29
13287 10.00 7.32
13294 10.00 7.34
13301 10.00 7.54
13308 10.00 7.52
13316 10.00 7.59
13322 10.00 7.56
13329 10.00 7.53
13336 10.00 7.60
13340 10.00 7.66
13347 10.00 6.97
13355 10.00 7.06
13362 10.00 7.13
13368 10.00 7.19
13375 10.00 7.33
13382 10.00 7.44
13389 10.00 7.53
13396 10.00 7.51
13404 10.00 7.49
13411 10.00 7.67
13418 10.00 7.62
13424 10.00 7.58
13431 10.00 7.55
13436 10.00 7.53
13444 10.00 7.04
13450 10.00 7.21
13457 10.00 7.16
13464 10.00 7.21
13471 10.00 7.35
13478 10.00 7.37
13486 10.00 7.56
13492 10.00 7.54
13499 10.00 7.61
13506 10.00 7.66
13513 10.00 7.62
13520 10.00 7.76
13528 10.00 7.70
13532 10.00 7.64
13538 10.00 6.95
13545 10.00 7.23
13552 10.00 7.27
13559 10.00 7.30
13566 10.00 7.42
13574 10.00 7.42
13580 10.00 7.51
13587 10.00 7.50
13594 10.00 7.58
13601 10.00 7.64
13608 10.00 7.60
13616 10.00 7.66
13623 10.00 7.70
13629 10.00 7.74
13636 10.00 7.68
13643 10.00 7.63
13650 10.00 7.68
13658 10.00 7.72
13665 10.00 7.66
13672 10.00 7.71
13678 10.00 7.65
13685 10.00 7.61
13692 10.00 7.57
13700 10.00 7.64
13707 10.00 7.59
13714 10.00 7.75
13720 10.00 7.68
13727 10.00 7.63
13734 10.00 7.68
13742 10.00 7.63
13749 10.00 7.68
13756 10.00 7.82
13763 10.00 7.74
13770 10.00 7.77
13776 10.00 7.70
13784 10.00 7.74
13791 10.00 7.68
13798 10.00 7.63
13802 10.00 7.59
13809 10.00 6.91
13816 10.00 7.10
13822 10.00 7.17
13830 10.00 7.40
13837 10.00 7.41
13844 10.00 7.51
13851 10.00 7.49
13856 10.00 7.76
13862 10.00 7.23
13867 10.00 7.27
13874 10.00 6.56
13881 10.00 6.73
13885 10.00 6.96
13892 10.00 6.41
13899 10.00 6.61
13906 10.00 6.96
13914 10.00 7.05
13920 10.00 7.22
13927 10.00 7.35
13934 10.00 7.37
13941 10.00 7.66
13945 10.00 7.61
13953 10.00 6.93
13959 10.00 7.21
13966 10.00 7.25
13973 10.00 7.38
13980 10.00 7.39
13987 10.00 7.40
13995 10.00 7.40
14002 0.00 7.50
14008 0.00 7.49
14015 0.00 7.20
14022 0.00 6.69
14028 0.00 6.18
14032 0.00 5.60
14040 0.00 4.76
14046 0.00 4.27
14053 0.00 3.69
14060 0.00 3.33
14066 0.00 2.94
14073 0.00 2.54
14081 0.00 2.22
14087 0.00 1.87
14094 0.00 1.58
14100 0.00 1.27
14107 0.00 1.01
14114 0.00 0.81
14120 0.00 0.56
14128 0.00 0.45
14134 0.00 0.36
14141 0.00 0.19
14148 0.00 0.15
14153 0.00 0.12
14160 0.00 0.10
14167 0.00 0.08
14174 0.00 0.06
14180 0.00 0.05
14187 0.00 0.04
14193 0.00 0.03
14200 0.00 0.03
14206 0.00 0.02
14214 0.00 0.02
14220 0.00 0.01
14227 0.00 0.01
14234 0.00 0.01
14240 0.00 0.01
14247 0.00 0.01
14254 0.00 0.00
14261 0.00 0.00
14267 0.00 0.00
14274 0.00 0.00
14280 0.00 0.00
14287 0.00 0.00
14295 0.00 0.00
14301 0.00 0.00
14308 0.00 0.00
14314 0.00 0.00
14321 0.00 0.00
14328 0.00 0.00
14334 0.00 0.00
14342 0.00 0.00
14348 0.00 0.00
14352 0.00 0.00
14359 0.00 0.00
14365 0.00 0.00
14372 0.00 0.00
14379 0.00 0.00
14386 0.00 0.00
14393 0.00 0.00
14399 0.00 0.00
14406 0.00 0.00
14412 0.00 0.00
14419 0.00 0.00
14427 0.00 0.00
14433 0.00 0.00
14440 0.00 0.00
14446 0.00 0.00
14453 0.00 0.00
14458 0.00 0.00
14466 0.00 0.00
14470 0.00 0.00
14477 0.00 0.00
14483 0.00 0.00
14490 0.00 0.00
14496 0.00 0.00
14503 0.00 0.00
14510 0.00 0.00
14517 0.00 0.00
14524 0.00 0.00
14530 0.00 0.00
14537 0.00 0.00
14542 0.00 0.00
14550 0.00 0.00
14554 0.00 0.00
14560 0.00 0.00
14567 0.00 0.00
14574 0.00 0.00
14580 0.00 0.00
14587 0.00 0.00
14594 0.00 0.00
14601 0.00 0.00
14608 0.00 0.00
14614 0.00 0.00
14621 0.00 0.00
14627 0.00 0.00
14631 0.00 0.00
14639 0.00 0.00
14645 0.00 0.00
14652 0.00 0.00
14659 0.00 0.00
14665 0.00 0.00
14672 0.00 0.00
14679 0.00 0.00
14686 0.00 0.00
14693 0.00 0.00
14699 0.00 0.00
14706 0.00 0.00
14712 0.00 0.00
14720 0.00 0.00
14726 0.00 0.00
14733 0.00 0.00
14740 0.00 0.00
14746 0.00 0.00
14753 0.00 0.00
14759 0.00 0.00
14767 0.00 0.00
14774 0.00 0.00
14780 0.00 0.00
14786 0.00 0.00
14792 0.00 0.00
14796 0.00 0.00
14803 0.00 0.00
14810 0.00 0.00
14817 0.00 0.00
14823 0.00 0.00
14830 0.00 0.00
14837 0.00 0.00
14843 0.00 0.00
14851 0.00 0.00
14857 0.00 0.00
14864 0.00 0.00
14871 0.00 0.00
14874 0.00 0.00
14881 0.00 0.00
14888 0.00 0.00
14895 0.00 0.00
14902 0.00 0.00
14908 0.00 0.00
14915 0.00 0.00
14921 0.00 0.00
14928 0.00 0.00
14936 0.00 0.00
14942 0.00 0.00
14949 0.00 0.00
14955 0.00 0.00
14962 0.00 0.00
14969 0.00 0.00
14976 0.00 0.00
14983 0.00 0.00
14989 0.00 0.00
14996 0.00 0.00
15003 0.00 0.00
15009 0.00 0.00
15016 0.00 0.00
15023 0.00 0.00
15030 0.00 0.00
15037 0.00 0.00
15043 0.00 0.00
15050 0.00 0.00
15056 0.00 0.00
15064 0.00 0.00
15070 0.00 0.00
15077 0.00 0.00
15083 0.00 0.00
15089 0.00 0.00
15096 0.00 0.00
15102 0.00 0.00
15110 0.00 0.00
15116 0.00 0.00
15123 0.00 0.00
15129 0.00 0.00
15136 0.00 0.00
15142 0.00 0.00
15149 0.00 0.00
15156 0.00 0.00
15162 0.00 0.00
15169 0.00 0.00
15173 0.00 0.00
15179 0.00 0.00
15186 0.00 0.00
15194 0.00 0.00
15200 0.00 0.00
15207 0.00 0.00
15213 0.00 0.00
15220 0.00 0.00
15227 0.00 0.00
15234 0.00 0.00
15241 0.00 0.00
15247 0.00 0.00
15254 0.00 0.00
15260 0.00 0.00
15266 0.00 0.00
15272 0.00 0.00
15280 0.00 0.00
15286 0.00 0.00
15293 0.00 0.00
15300 0.00 0.00
15306 0.00 0.00
15313 0.00 0.00
15320 0.00 0.00
15327 0.00 0.00
15333 0.00 0.00
15340 0.00 0.00
15347 0.00 0.00
15352 0.00 0.00
15358 0.00 0.00
15366 0.00 0.00
15372 0.00 0.00
15379 0.00 0.00
15386 0.00 0.00
15392 0.00 0.00
15398 0.00 0.00
15405 0.00 0.00
15412 0.00 0.00
15418 0.00 0.00
15425 0.00 0.00
15432 0.00 0.00
15438 0.00 0.00
15442 0.00 0.00
15450 0.00 0.00
15456 0.00 0.00
15463 0.00 0.00
15469 0.00 0.00
15476 0.00 0.00
15483 0.00 0.00
15490 0.00 0.00
15496 0.00 0.00
15502 0.00 0.00
15509 0.00 0.00
15515 0.00 0.00
15522 0.00 0.00
15526 0.00 0.00
15533 0.00 0.00
15540 0.00 0.00
15547 0.00 0.00
15553 0.00 0.00
15560 0.00 0.00
15566 0.00 0.00
15574 0.00 0.00
15580 0.00 0.00
15587 0.00 0.00
15594 0.00 0.00
15600 0.00 0.00
15607 0.00 0.00
15613 0.00 0.00
15619 0.00 0.00
15625 0.00 0.00
15632 0.00 0.00
15638 0.00 0.00
15645 0.00 0.00
15652 0.00 0.00
15659 0.00 0.00
15666 0.00 0.00
15672 0.00 0.00
15679 0.00 0.00
15686 0.00 0.00
15692 0.00 0.00
15699 0.00 0.00
15704 0.00 0.00
15711 0.00 0.00
15717 0.00 0.00
15724 0.00 0.00
15730 0.00 0.00
15737 0.00 0.00
15745 0.00 0.00
15751 0.00 0.00
15758 0.00 0.00
15763 0.00 0.00
15770 0.00 0.00
15776 0.00 0.00
15783 0.00 0.00
15791 0.00 0.00
15794 0.00 0.00
15801 0.00 0.00
15808 0.00 0.00
15814 0.00 0.00
15821 0.00 0.00
15827 0.00 0.00
15835 0.00 0.00
15841 0.00 0.00
15848 0.00 0.00
15855 0.00 0.00
15861 0.00 0.00
15868 0.00 0.00
15875 0.00 0.00
15882 0.00 0.00
15887 0.00 0.00
15894 0.00 0.00
15900 0.00 0.00
15907 0.00 0.00
15913 0.00 0.00
15921 0.00 0.00
15928 0.00 0.00
15934 0.00 0.00
15941 0.00 0.00
15947 0.00 0.00
15954 0.00 0.00
15962 0.00 0.00
15968 0.00 0.00
15972 0.00 0.00
15979 0.00 0.00
15985 0.00 0.00
15992 0.00 0.00
15998 0.00 0.00
16006 10.00 0.00
16013 10.00 0.00
16018 10.00 0.37
16025 10.00 0.85
16032 10.00 1.52
16038 10.00 2.14
16046 10.00 2.83
16053 10.00 3.56
16060 10.00 4.15
16064 10.00 4.62
16071 10.00 4.35
16077 10.00 4.96
16084 10.00 5.36
16092 10.00 5.68
16099 10.00 6.03
16104 10.00 6.31
16110 10.00 6.07
16114 10.00 6.25
16121 10.00 5.74
16129 10.00 6.08
16136 10.00 6.35
16143 10.00 6.56
16147 10.00 6.64
16153 10.00 6.06
16160 10.00 6.33
16167 10.00 6.55
16175 10.00 6.82
16182 10.00 6.94
16187 10.00 7.04
16193 10.00 6.74
16197 10.00 6.88
16204 10.00 6.25
16211 10.00 6.48
16219 10.00 6.67
16226 10.00 6.82
16229 10.00 7.04
16236 10.00 6.46
16243 10.00 6.66
16250 10.00 6.81
16258 10.00 6.93
16265 10.00 7.13
16272 10.00 7.19
16276 10.00 7.33
16282 10.00 6.70
16289 10.00 6.84
16296 10.00 7.15
16304 10.00 7.20
16311 10.00 7.34
16318 10.00 7.36
16322 10.00 7.46
16329 10.00 6.90
16336 10.00 7.10
16343 10.00 7.07
16350 10.00 7.14
16357 10.00 7.20
16364 10.00 7.24
16371 10.00 7.47
16378 10.00 7.46
16385 10.00 7.55
16392 10.00 7.71
16399 10.00 7.65
16406 10.00 7.98
16413 10.00 7.87
16417 10.00 7.78
16423 10.00 6.97
16431 10.00 7.06
16438 10.00 7.13
16445 10.00 7.28
16452 10.00 7.31
16459 10.00 7.34
16465 10.00 7.45
16471 10.00 7.54
16478 10.00 6.96
16482 10.00 7.05
16489 10.00 6.38
16496 10.00 6.59
16500 10.00 6.85
16506 10.00 6.32
16514 10.00 6.63
16521 10.00 6.88
16528 10.00 6.99
16535 10.00 7.08
16542 10.00 7.15
16549 10.00 7.20
16556 10.00 7.25
16563 10.00 7.28
16570 10.00 7.31
16574 10.00 7.34
16581 10.00 6.61
16588 10.00 6.77
16592 10.00 7.00
16600 10.00 6.71
16604 10.00 6.95
16611 10.00 6.39
16618 10.00 6.69
16625 10.00 6.84
16631 10.00 6.96
16636 10.00 7.05
16644 10.00 6.66
16651 10.00 6.91
16658 10.00 7.10
16662 10.00 7.17
16669 10.00 6.57
16675 10.00 6.84
16683 10.00 6.95
16690 10.00 7.05
16694 10.00 7.12
16701 10.00 6.44
16708 10.00 6.64
16715 10.00 6.89
16721 10.00 7.00
16729 10.00 7.08
16736 10.00 7.06
16742 10.00 7.23
16749 10.00 7.27
16753 10.00 7.30
16760 10.00 6.67
16768 10.00 6.92
16775 10.00 7.02
16782 10.00 7.10
16787 10.00 7.17
16794 10.00 6.75
16801 10.00 6.98
16807 10.00 7.16
16812 10.00 7.22
16819 10.00 6.52
16826 10.00 6.70
16833 10.00 6.84
16840 10.00 6.96
16843 10.00 7.15
16850 10.00 6.37
16858 10.00 6.67
16865 10.00 6.73
16869 10.00 6.87
16876 10.00 6.33
16880 10.00 6.64
16887 10.00 6.24
16894 10.00 6.67
16899 10.00 6.82
16906 10.00 6.29
16911 10.00 6.52
16918 10.00 6.33
16925 10.00 6.64
16932 10.00 6.80
16936 10.00 7.02
16943 10.00 6.45
16950 10.00 6.64
16957 10.00 6.80
16961 10.00 7.02
16968 10.00 6.45
16975 10.00 6.65
16979 10.00 6.89
16987 10.00 6.44
16992 10.00 6.64
16999 10.00 6.43
17006 10.00 6.72
17013 10.00 6.95
17019 10.00 7.14
17027 10.00 7.20
17031 10.00 7.24
17038 10.00 6.54
17045 10.00 6.72
17052 10.00 6.86
17058 10.00 7.06
17065 10.00 7.23
17073 10.00 7.36
17077 10.00 7.38
17084 10.00 6.64
17091 10.00 6.80
17098 10.00 7.02
17104 10.00 7.19
17112 10.00 7.43
17119 10.00 7.43
17126 10.00 7.43
17133 10.00 7.61
17140 10.00 7.57
17147 10.00 7.55
17155 10.00 7.61
17161 10.00 7.67
17167 10.00 7.62
17173 10.00 7.30
17180 10.00 7.24
17187 10.00 7.27
17195 10.00 7.30
17202 10.00 7.33
17209 10.00 7.44
17216 10.00 7.44
17222 10.00 7.44
17229 10.00 7.53
17236 10.00 7.60
17244 10.00 7.66
17251 10.00 7.61
17255 10.00 7.85
17262 10.00 7.21
17269 10.00 7.35
17276 10.00 7.46
17284 10.00 7.45
17290 10.00 7.54
17297 10.00 7.61
17304 10.00 7.67
17311 10.00 7.71
17318 10.00 7.75
17326 10.00 7.78
17333 10.00 7.71
17340 10.00 7.74
17346 10.00 7.87
17350 10.00 7.68
17357 10.00 6.98
17364 10.00 7.07
17372 10.00 7.24
17379 10.00 7.37
17386 10.00 7.38
17392 10.00 7.39
17399 10.00 7.49
17406 10.00 7.57
17414 10.00 7.54
17421 10.00 7.52
17428 10.00 7.59
17434 10.00 7.65
17438 10.00 7.61
17445 10.00 6.83
17453 10.00 6.95
17460 10.00 7.14
17467 10.00 7.29
17474 10.00 7.32
17481 10.00 7.43
17487 10.00 7.52
17495 10.00 7.50
17502 10.00 7.49
17509 10.00 7.75
17516 10.00 7.69
17523 10.00 7.92
17529 10.00 7.82
17537 10.00 7.83
17544 10.00 7.84
17549 10.00 7.85
17556 10.00 7.30
17563 10.00 7.42
17570 10.00 7.52
17576 10.00 7.59
17584 10.00 7.93
17591 10.00 7.83
17598 10.00 7.75
17605 10.00 7.87
17612 10.00 7.78
17619 10.00 7.71
17626 10.00 7.84
17633 10.00 7.85
17640 10.00 7.77
17644 10.00 7.70
17651 10.00 6.90
17658 10.00 7.01
17665 10.00 7.18
17672 10.00 7.42
17679 10.00 7.42
17686 10.00 7.51
17693 10.00 7.68
17700 10.00 7.63
17708 10.00 7.68
17715 10.00 7.72
17721 10.00 7.67
17728 10.00 7.71
17732 10.00 7.75
17739 10.00 6.94
17746 10.00 7.13
17754 10.00 7.28
17761 10.00 7.31
17768 10.00 7.43
17774 10.00 7.52
17781 10.00 7.50
17786 10.00 7.49
17794 10.00 6.92
17797 10.00 7.02
17804 10.00 6.45
17811 10.00 6.65
17815 10.00 6.80
17822 10.00 6.18
17829 10.00 6.43
17837 10.00 6.72
17843 10.00 6.96
17850 10.00 7.05
17857 10.00 7.22
17864 10.00 7.26
17871 10.00 7.48
17875 10.00 7.47
17883 10.00 6.72
17889 10.00 6.95
17896 10.00 7.05
17903 10.00 7.22
17910 10.00 7.35
17917 10.00 7.46
17925 10.00 7.45
17932 10.00 7.54
17938 10.00 7.61
17945 10.00 7.67
17952 10.00 7.62
17959 10.00 7.58
17964 10.00 7.64
17971 10.00 6.95
17978 10.00 7.23
17985 10.00 7.27
17991 10.00 7.39
17998 10.00 7.49
18006 0.00 7.57
18013 0.00 7.64
18020 0.00 7.32
18026 0.00 6.97
18033 0.00 6.41
18040 0.00 5.78
18046 0.00 5.09
18054 0.00 4.44
18059 0.00 3.92
18066 0.00 3.42
18070 0.00 2.92
18076 0.00 2.43
18083 0.00 2.13
18089 0.00 1.89
18097 0.00 1.51
18104 0.00 1.30
18110 0.00 1.04
18117 0.00 0.83
18123 0.00 0.67
18130 0.00 0.53
18138 0.00 0.43
18144 0.00 0.34
18148 0.00 0.27
18155 0.00 0.22
18161 0.00 0.17
18168 0.00 0.14
18174 0.00 0.11
18182 0.00 0.09
18189 0.00 0.07
18195 0.00 0.06
18202 0.00 0.05
18208 0.00 0.04
18215 0.00 0.03
18223 0.00 0.02
18228 0.00 0.02
18234 0.00 0.02
18238 0.00 0.01
18245 0.00 0.01
18252 0.00 0.01
18258 0.00 0.01
18266 0.00 0.00
18272 0.00 0.00
18279 0.00 0.00
18286 0.00 0.00
18292 0.00 0.00
18299 0.00 0.00
18306 0.00 0.00
18313 0.00 0.00
18317 0.00 0.00
18323 0.00 0.00
18330 0.00 0.00
18336 0.00 0.00
18343 0.00 0.00
18351 0.00 0.00
18357 0.00 0.00
18364 0.00 0.00
18370 0.00 0.00
18377 0.00 0.00
18384 0.00 0.00
18391 0.00 0.00
18398 0.00 0.00
18404 0.00 0.00
18411 0.00 0.00
18417 0.00 0.00
18424 0.00 0.00
18432 0.00 0.00
18438 0.00 0.00
18445 0.00 0.00
18451 0.00 0.00
18458 0.00 0.00
18465 0.00 0.00
18471 0.00 0.00
18479 0.00 0.00
18485 0.00 0.00
18492 0.00 0.00
18498 0.00 0.00
18505 0.00 0.00
18512 0.00 0.00
18519 0.00 0.00
18526 0.00 0.00
18532 0.00 0.00
18539 0.00 0.00
18546 0.00 0.00
18552 0.00 0.00
18560 0.00 0.00
18566 0.00 0.00
18573 0.00 0.00
18580 0.00 0.00
18586 0.00 0.00
18593 0.00 0.00
18599 0.00 0.00
18607 0.00 0.00
18613 0.00 0.00
18620 0.00 0.00
18627 0.00 0.00
18633 0.00 0.00
18640 0.00 0.00
18647 0.00 0.00
18654 0.00 0.00
18661 0.00 0.00
18667 0.00 0.00
18674 0.00 0.00
18680 0.00 0.00
18688 0.00 0.00
18694 0.00 0.00
18701 0.00 0.00
18708 0.00 0.00
18714 0.00 0.00
18721 0.00 0.00
18727 0.00 0.00
18735 0.00 0.00
18742 0.00 0.00
18748 0.00 0.00
18755 0.00 0.00
18761 0.00 0.00
18768 0.00 0.00
18776 0.00 0.00
18782 0.00 0.00
18789 0.00 0.00
18795 0.00 0.00
18802 0.00 0.00
18809 0.00 0.00
18816 0.00 0.00
18823 0.00 0.00
18829 0.00 0.00
18836 0.00 0.00
18842 0.00 0.00
18849 0.00 0.00
18856 0.00 0.00
18863 0.00 0.00
18870 0.00 0.00
18876 0.00 0.00
18883 0.00 0.00
18890 0.00 0.00
18896 0.00 0.00
18904 0.00 0.00
18910 0.00 0.00
18917 0.00 0.00
18924 0.00 0.00
18930 0.00 0.00
18937 0.00 0.00
18944 0.00 0.00
18951 0.00 0.00
18957 0.00 0.00
18964 0.00 0.00
18971 0.00 0.00
18977 0.00 0.00
18984 0.00 0.00
18991 0.00 0.00
18998 0.00 0.00
19005 0.00 0.00
19011 0.00 0.00
19018 0.00 0.00
19024 0.00 0.00
19032 0.00 0.00
19038 0.00 0.00
19045 0.00 0.00
19052 0.00 0.00
19058 0.00 0.00
19065 0.00 0.00
19072 0.00 0.00
19079 0.00 0.00
19086 0.00 0.00
19092 0.00 0.00
19099 0.00 0.00
19105 0.00 0.00
19112 0.00 0.00
19120 0.00 0.00
19126 0.00 0.00
19133 0.00 0.00
19139 0.00 0.00
19146 0.00 0.00
19152 0.00 0.00
19160 0.00 0.00
19167 0.00 0.00
19172 0.00 0.00
19179 0.00 0.00
19183 0.00 0.00
19189 0.00 0.00
19196 0.00 0.00
19203 0.00 0.00
19210 0.00 0.00
19216 0.00 0.00
19223 0.00 0.00
19230 0.00 0.00
19236 0.00 0.00
19244 0.00 0.00
19250 0.00 0.00
19257 0.00 0.00
19263 0.00 0.00
19270 0.00 0.00
19276 0.00 0.00
19283 0.00 0.00
19291 0.00 0.00
19297 0.00 0.00
19304 0.00 0.00
19310 0.00 0.00
19317 0.00 0.00
19323 0.00 0.00
19331 0.00 0.00
19338 0.00 0.00
19344 0.00 0.00
19348 0.00 0.00
19355 0.00 0.00
19361 0.00 0.00
19368 0.00 0.00
19375 0.00 0.00
19382 0.00 0.00
19389 0.00 0.00
19395 0.00 0.00
19402 0.00 0.00
19408 0.00 0.00
19416 0.00 0.00
19422 0.00 0.00
19429 0.00 0.00
19436 0.00 0.00
19442 0.00 0.00
19449 0.00 0.00
19454 0.00 0.00
19462 0.00 0.00
19469 0.00 0.00
19475 0.00 0.00
19482 0.00 0.00
19488 0.00 0.00
19495 0.00 0.00
19502 0.00 0.00
19509 0.00 0.00
19514 0.00 0.00
19521 0.00 0.00
19528 0.00 0.00
19534 0.00 0.00
19542 0.00 0.00
19548 0.00 0.00
19554 0.00 0.00
19561 0.00 0.00
19568 0.00 0.00
19574 0.00 0.00
19581 0.00 0.00
19588 0.00 0.00
19595 0.00 0.00
19602 0.00 0.00
19608 0.00 0.00
19615 0.00 0.00
19621 0.00 0.00
19629 0.00 0.00
19635 0.00 0.00
19641 0.00 0.00
19648 0.00 0.00
19655 0.00 0.00
19661 0.00 0.00
19668 0.00 0.00
19675 0.00 0.00
19682 0.00 0.00
19689 0.00 0.00
19695 0.00 0.00
19702 0.00 0.00
19708 0.00 0.00
19716 0.00 0.00
19720 0.00 0.00
19726 0.00 0.00
19730 0.00 0.00
19736 0.00 0.00
19740 0.00 0.00
19747 0.00 0.00
19755 0.00 0.00
19761 0.00 0.00
19768 0.00 0.00
19774 0.00 0.00
19781 0.00 0.00
19787 0.00 0.00
19794 0.00 0.00
19801 0.00 0.00
19807 0.00 0.00
19813 0.00 0.00
19820 0.00 0.00
19826 0.00 0.00
19833 0.00 0.00
19841 0.00 0.00
19847 0.00 0.00
19854 0.00 0.00
19860 0.00 0.00
19867 0.00 0.00
19874 0.00 0.00
19880 0.00 0.00
19885 0.00 0.00
19892 0.00 0.00
19896 0.00 0.00
19903 0.00 0.00
19907 0.00 0.00
19913 0.00 0.00
19920 0.00 0.00
19927 0.00 0.00
19934 0.00 0.00
19940 0.00 0.00
19947 0.00 0.00
19954 0.00 0.00
19960 0.00 0.00
19964 0.00 0.00
19972 0.00 0.00
19975 0.00 0.00
19982 0.00 0.00
19986 0.00 0.00
19992 0.00 0.00
19999 0.00 0.00
20006 10.00 0.00
20013 10.00 0.00
20020 10.00 0.37
20027 10.00 0.95
20034 10.00 1.59
20040 10.00 2.30
20044 10.00 2.95
20051 10.00 3.10
20059 10.00 3.78
20063 10.00 4.33
20070 10.00 4.11
20076 10.00 4.68
20083 10.00 5.14
20090 10.00 5.50
20098 10.00 5.89
20105 10.00 6.10
20111 10.00 6.37
20118 10.00 6.67
20125 10.00 6.82
20132 10.00 6.94
20140 10.00 7.13
20144 10.00 7.19
20151 10.00 6.50
20157 10.00 6.78
20164 10.00 6.91
20171 10.00 7.10
20178 10.00 7.35
20186 10.00 7.37
20193 10.00 7.47
20200 10.00 7.46
20206 10.00 7.46
20213 10.00 7.54
20220 10.00 7.52
20228 10.00 7.87
20235 10.00 7.88
20240 10.00 7.88
20246 10.00 7.23
20250 10.00 7.36
20257 10.00 6.63
20261 10.00 6.79
20269 10.00 6.18
20276 10.00 6.43
20283 10.00 6.63
20289 10.00 6.97
20296 10.00 7.16
20303 10.00 7.21
20311 10.00 7.35
20318 10.00 7.46
20325 10.00 7.54
20329 10.00 7.61
20336 10.00 6.93
20342 10.00 7.12
20349 10.00 7.27
20357 10.00 7.40
20364 10.00 7.40
20371 10.00 7.41
20377 10.00 7.41
20384 10.00 7.51
20391 10.00 7.58
20399 10.00 7.55
20406 10.00 7.53
20413 10.00 7.51
20420 10.00 7.49
20427 10.00 7.85
20431 10.00 7.77
20438 10.00 7.05
20445 10.00 7.12
20452 10.00 7.18
20459 10.00 7.33
20466 10.00 7.35
20473 10.00 7.36
20481 10.00 7.47
20487 10.00 7.55
20494 10.00 7.62
20499 10.00 7.67
20506 10.00 7.16
20510 10.00 7.21
20516 10.00 6.51
20520 10.00 6.70
20528 10.00 6.19
20535 10.00 6.44
20542 10.00 6.64
20549 10.00 6.79
20556 10.00 7.01
20562 10.00 7.10
20570 10.00 7.16
20577 10.00 7.31
20584 10.00 7.43
20588 10.00 7.52
20595 10.00 6.76
20602 10.00 6.89
20609 10.00 7.09
20613 10.00 7.53
20620 10.00 6.77
20627 10.00 6.99
20634 10.00 7.08
20641 10.00 7.15
20647 10.00 7.30
20655 10.00 7.32
20662 10.00 7.34
20669 10.00 7.45
20676 10.00 7.54
20683 10.00 7.52
20689 10.00 7.59
20697 10.00 7.47
20704 10.00 7.55
20710 10.00 7.62
20717 10.00 7.58
20724 10.00 7.74
20731 10.00 7.67
20739 10.00 7.62
20744 10.00 7.68
20750 10.00 7.26
20757 10.00 7.29
20764 10.00 7.41
20771 10.00 7.51
20775 10.00 7.58
20783 10.00 6.81
20790 10.00 7.03
20796 10.00 7.20
20803 10.00 7.24
20810 10.00 7.37
20817 10.00 7.48
20825 10.00 7.47
20831 10.00 7.46
20838 10.00 7.45
20845 10.00 7.54
20852 10.00 7.61
20859 10.00 7.67
20864 10.00 7.80
20870 10.00 6.99
20877 10.00 7.17
20884 10.00 7.22
20891 10.00 7.45
